ID,label
35057,1
41573,0
44029,1
6462,0
17533,0
22432,0
37471,1
26858,1
37282,0
21448,1
40690,1
6549,0
43786,0
48990,1
42091,0
11233,0
43987,1
21088,1
215,1
41431,0
33902,1
3134,1
14056,0
52161,0
34273,0
14272,0
32980,1
1361,1
11802,0
19087,0
37943,0
17592,1
30004,1
31104,1
40516,1
5992,0
33625,1
15472,1
9346,1
21748,1
40990,1
34564,0
14106,0
27557,1
4887,1
40440,1
14169,0
26294,0
7605,1
43909,1
43175,0
34886,0
10495,0
46100,0
49572,1
28508,1
11948,1
4950,0
1499,1
21829,1
4892,0
10712,1
13918,1
45646,1
46556,0
48592,1
40038,0
19312,1
3254,1
35161,0
12384,0
51482,1
7085,1
1316,1
21934,0
40140,0
19953,0
9791,0
42160,0
47609,1
2558,0
20131,0
20752,1
35556,0
3157,1
3816,1
25705,1
21167,0
43378,1
10428,1
41441,0
2713,1
24519,0
48666,1
20443,1
18324,0
15441,1
3020,0
5350,0
24709,0
49810,0
40435,0
29947,0
12276,1
17204,1
11864,1
24824,1
17532,1
5885,0
24005,1
43635,0
45232,1
48030,0
1772,1
43785,0
3862,0
47567,1
27028,1
2936,0
15819,1
50282,0
9334,0
25240,0
49905,0
38878,1
7244,1
29128,0
37264,1
46500,0
38672,1
27906,0
6729,1
470,0
44442,0
5911,0
22513,1
9293,1
39184,0
6042,0
20694,0
2028,1
21870,0
38491,0
10390,1
20017,0
3549,1
26557,1
26148,0
52109,1
32507,0
137,1
3281,1
27347,0
35821,0
26889,0
2679,0
38881,1
14384,0
33533,1
15945,0
46836,0
17210,0
46449,0
44438,0
28307,1
45454,1
19774,1
24373,1
17201,0
36562,1
6526,1
36780,0
7870,1
9003,0
43717,1
1732,0
15397,0
46140,1
49563,1
33616,1
40261,1
49921,0
5694,0
48020,0
47508,1
19594,0
4446,0
37787,1
19375,0
27894,0
14967,1
16305,1
9854,0
21726,0
44531,0
33392,0
19931,0
31352,0
3870,1
29123,0
1803,1
32205,0
18943,0
29668,1
40600,0
8088,1
11632,0
6640,0
12626,1
1545,0
1004,1
47527,1
33136,1
36132,1
51611,0
10111,1
45900,0
24389,1
40475,0
19067,0
16685,0
811,1
30596,1
25939,1
21817,1
13306,1
8711,1
33849,0
48087,0
51439,1
38251,0
42121,1
306,0
11538,0
19011,1
11371,0
45936,1
6587,0
29871,1
24047,0
689,0
15496,1
16393,0
12853,0
11049,1
20256,0
40342,0
16511,1
32008,0
52391,1
2304,1
47660,1
24222,0
8457,0
32094,1
10592,1
37479,0
22557,0
48805,1
16361,0
20409,0
49188,1
6232,1
24689,0
49264,0
46170,0
22659,0
10653,1
28509,0
40767,1
42496,1
1684,1
20699,1
26245,0
41738,1
13979,0
31700,1
37940,0
13465,1
22836,0
33308,0
51120,0
26091,1
33323,1
44524,1
7504,0
36901,0
6443,1
43346,1
23899,0
15422,0
50759,0
13310,1
20619,0
10641,0
47289,1
4484,0
4682,1
22860,1
21852,1
25077,0
32829,1
31369,1
18668,0
26679,1
22932,1
6176,0
7936,0
37612,0
18420,0
38679,1
5944,0
46708,0
3450,0
14572,0
17248,0
28879,0
28264,0
18258,0
30513,1
5633,0
9957,0
47840,0
47526,1
33090,1
36854,0
26031,0
7479,1
22274,1
19078,1
27200,1
46980,1
50756,1
47544,1
42140,0
20590,1
32229,0
39769,0
50742,1
20267,0
49405,1
9944,1
9026,1
13142,0
27317,0
38583,0
24083,1
29263,0
43025,1
28470,1
21814,1
9359,1
46476,0
12800,1
48951,0
40978,0
46624,0
4958,1
19133,0
17336,1
3557,0
2507,1
52004,0
52427,1
41815,0
10905,0
1650,0
5842,1
41639,0
23874,0
49770,0
32148,1
51317,0
18976,0
24865,1
14767,0
11057,1
15125,0
45357,1
26883,1
44954,0
24600,1
25716,0
26861,1
596,0
12181,0
40558,0
7153,1
45328,0
740,0
35024,1
19582,0
40324,0
29281,0
24066,1
44392,0
9323,1
38832,0
7948,1
12378,0
18557,0
31538,1
16212,1
22758,0
30457,0
18496,0
38145,0
41230,1
10183,1
20052,0
12100,1
11801,0
6368,0
14829,0
6725,0
20555,1
39491,1
20713,1
34066,1
18067,0
45276,0
1100,0
45601,1
11723,0
51091,1
25339,0
24099,1
19321,1
10288,0
45226,0
26471,1
25183,1
23626,1
48739,1
8488,0
47204,1
29961,0
20535,0
50456,1
3404,1
7818,0
19501,0
20427,0
27116,1
38109,1
51810,0
17729,1
16074,1
10077,0
3010,1
14985,0
46165,0
7174,1
24582,1
8502,1
3131,0
49582,1
17723,0
20096,1
41310,0
11253,1
21439,0
46513,0
20441,1
34223,0
41290,0
52488,1
12496,0
23648,0
16959,0
21922,0
50138,1
35892,0
48832,1
27541,1
50992,1
26561,0
32657,0
40603,0
44938,0
50027,1
30339,1
6513,1
1590,0
36933,0
34751,0
50783,0
10007,0
8383,1
20655,0
8471,1
15757,1
7094,0
18977,1
48922,0
27622,0
4420,1
5610,0
6001,0
10154,0
46573,1
37916,1
33199,0
13826,0
5008,1
47685,0
46984,1
12718,1
34567,1
48441,0
16341,0
26734,1
20893,1
10565,1
23586,0
44833,0
21191,0
40215,1
50013,0
40551,1
1817,1
6731,1
18117,1
50007,0
21427,1
39497,1
23724,0
38293,1
34761,0
38648,1
3652,0
16184,1
32908,0
47514,0
23940,0
48023,1
48762,1
31875,1
7823,1
40029,0
37727,0
5965,0
1836,0
34389,1
332,0
50945,1
21220,0
46722,0
8421,0
39608,1
41338,0
1212,1
1679,1
1521,1
3546,1
1248,1
8653,1
5246,1
48747,1
89,0
43052,1
44407,0
24741,1
37040,1
51215,1
10283,1
7937,1
12244,0
46689,0
39668,1
20480,1
7261,0
24304,0
31425,0
45590,1
34180,1
48602,0
10361,0
2653,1
37874,1
7124,0
29041,1
7571,1
4867,0
1067,1
24735,0
51502,1
47007,1
13154,0
44327,1
24338,0
6373,0
36047,0
20973,0
5608,1
11420,0
52364,1
9063,0
34281,0
33288,0
33051,0
25105,0
14841,0
20821,0
38686,0
38779,0
6674,1
4794,1
24557,1
162,1
28948,1
42851,1
35795,1
44071,1
1625,0
9250,1
8905,0
20531,0
6210,1
26854,1
36416,0
48052,1
2148,1
18127,1
21811,0
43688,1
46457,1
15312,1
5025,1
3475,1
4649,1
34767,0
17837,1
8520,1
27279,1
15233,0
4601,0
28110,1
26740,1
705,1
35128,1
16636,0
40505,0
38443,0
32463,1
17493,1
38791,0
27718,1
39528,0
39731,1
3133,1
16065,0
2990,1
11658,1
16029,1
36453,1
1507,1
44139,0
49304,0
34225,0
13202,0
2179,1
27680,1
7350,1
6222,1
28371,1
21492,0
6231,0
5318,1
12044,1
12117,0
2754,1
42754,0
2227,0
50831,0
24695,0
30966,0
2721,0
24370,1
20375,1
15396,1
47897,1
21382,0
38378,1
16111,1
20076,0
34925,0
34890,1
43306,1
52467,0
38394,1
22120,1
42969,0
9395,1
43914,1
28239,0
45425,1
31712,1
43081,0
15868,0
44134,0
35920,0
49580,1
4470,0
16556,0
2413,1
18475,1
15036,0
39449,1
25260,0
28783,1
33031,1
20334,0
49930,1
16927,0
52500,1
10654,0
34608,1
52052,1
36278,1
9604,1
17323,0
36526,0
6195,1
12694,1
9390,1
29304,0
10983,0
156,1
28871,0
11477,1
25469,1
144,0
31630,1
4045,0
13948,0
34989,0
47906,0
7433,1
9618,1
23417,1
13139,0
36524,0
22775,1
22116,1
6596,0
38460,1
12475,0
23419,1
18471,0
14437,1
39885,1
27074,0
30972,0
10098,1
20296,0
22315,0
519,0
22246,0
28630,0
18945,0
21675,1
44409,0
21339,0
22150,0
45909,1
20258,1
50991,0
50886,0
39460,1
45014,0
21758,1
15231,1
40652,1
52301,1
10706,1
33949,1
35144,1
4165,1
16079,1
33749,0
33652,1
7763,0
46626,0
13263,0
28575,0
45771,0
16154,1
2673,1
38746,1
32383,0
48194,1
46353,1
26942,0
31399,0
12981,1
48606,0
38667,1
15918,1
44615,1
44937,1
44063,0
20879,1
35634,1
29040,1
49085,1
15173,1
49941,1
15271,0
12431,0
32851,1
25079,1
50289,0
47340,1
32397,0
34772,0
52140,1
48411,1
10128,0
20188,1
23752,1
4862,1
49364,0
762,1
6418,1
46082,0
23731,0
11513,0
26580,0
6154,1
14090,0
40461,0
17850,0
37884,0
35153,1
43477,1
49483,0
10811,0
3860,1
10051,0
18793,0
39328,0
52026,0
37743,1
16231,1
38535,0
15213,0
41011,0
15675,1
23693,0
21932,1
7515,1
37134,1
41589,0
41643,0
10904,1
23636,1
23539,0
36131,0
29598,0
8799,1
41610,1
8623,1
32105,0
4532,1
48597,0
10131,0
15793,0
1699,1
9842,1
27831,1
51468,1
10709,0
37964,1
3309,1
48948,0
43134,1
37682,1
15766,0
47281,1
6288,1
23690,1
35285,0
15,1
4450,0
192,1
32946,0
782,1
39776,0
6628,1
29868,1
8860,1
2363,0
43947,0
28381,0
26074,0
22766,0
51480,1
52272,0
37419,1
32627,1
30416,1
13941,1
32547,1
44091,0
24723,1
11782,1
14420,1
1776,1
510,1
24114,1
17773,0
8273,0
11165,0
41925,0
33266,0
42854,1
23951,0
933,0
4804,0
1187,1
45046,0
35551,1
45727,1
47907,0
43248,1
10814,0
12090,0
24738,1
48968,1
118,1
29674,0
30224,0
45777,1
30829,1
7563,0
24686,1
16877,1
52470,0
14906,1
39245,0
15981,1
13077,0
43521,1
51804,0
33956,0
48733,0
11045,1
18739,0
619,1
13228,1
9727,0
21176,0
37938,0
27796,0
8910,0
47063,0
18637,0
39318,1
45123,1
30520,1
3424,0
8970,0
32390,1
32951,0
13564,1
46842,1
11401,1
24711,1
25424,0
29463,0
27418,0
30139,1
3797,0
21092,1
2717,0
22802,1
15909,0
11773,1
29681,1
42856,0
29585,0
41036,1
19863,0
28253,0
17896,1
8544,0
47458,0
26888,1
25162,0
15256,1
2885,1
9410,1
17334,0
26759,1
13379,0
46620,0
35380,1
18611,1
31514,0
42480,0
45881,0
51768,1
24056,1
42462,1
32034,1
44314,1
24927,0
19250,0
51878,0
27652,1
43959,0
2820,1
45116,0
49096,1
31394,0
51329,0
2805,0
32381,1
51366,0
34262,1
3190,0
49609,1
49384,1
27743,0
33838,0
52155,1
14464,1
21186,1
32035,1
2372,0
43344,1
10055,1
2813,0
40918,1
20202,1
31784,1
9341,1
19347,1
18129,0
48114,1
48116,0
31602,0
21810,0
52548,1
1712,1
17330,1
50764,1
30459,1
21659,1
34650,0
21621,1
22945,1
25413,1
28927,0
52168,1
49169,1
51937,1
5921,1
22332,0
1081,1
24631,1
31643,0
34263,0
4761,0
29008,0
2873,1
12983,0
40190,1
8820,1
1624,0
3763,1
4183,0
22523,1
51743,0
41084,0
50877,1
47030,1
4390,1
38743,1
40055,1
11486,1
25875,1
28447,0
6988,0
16512,1
32175,0
4919,1
30124,1
45009,0
31837,1
16109,1
61,1
9884,1
11341,1
19552,0
24710,0
21250,0
3004,0
28035,1
19744,1
51002,1
29694,0
33659,0
247,1
16073,1
15503,1
32789,0
47079,1
51597,0
22202,1
35346,0
12428,0
15704,0
2938,1
40483,1
26760,1
50567,0
44259,1
11126,1
30667,0
51242,1
25571,1
41518,0
45488,0
52147,0
45044,1
35211,1
35979,1
31044,1
22706,1
46636,1
5054,1
29785,0
16401,0
24602,1
3994,1
48984,0
46289,0
3276,1
28365,1
23350,0
23665,1
39396,0
565,1
3854,1
30639,0
28601,0
20551,1
6892,0
9533,0
42036,0
49462,1
32574,1
31919,1
29840,0
42044,1
29607,1
45730,1
41050,1
32216,0
15215,1
16039,1
29362,0
48500,0
16458,0
32583,1
46008,0
17212,0
5956,1
4695,0
31841,1
10533,1
24680,0
42773,0
41797,1
7884,1
28809,1
20107,0
30262,0
30492,0
37007,1
9657,1
40835,0
42595,0
23856,1
14022,0
38596,0
11239,0
50805,1
35039,1
21944,0
46946,1
28360,1
8255,1
42726,1
20670,1
44721,0
10127,0
6777,1
38421,0
1014,1
1918,1
20730,1
32564,0
35295,1
33602,0
2741,0
22965,0
18157,0
43166,1
32135,0
6205,1
618,1
28375,1
22312,0
32151,1
47127,0
30702,1
41245,1
13442,0
32024,0
14028,0
14004,0
20539,0
25,1
47505,0
21005,1
48274,1
27029,0
25681,1
3898,1
11198,1
27769,1
35006,0
36440,1
31470,1
7643,1
38029,0
38814,0
23023,0
23288,1
23820,1
33325,1
23729,0
4414,0
45256,1
18600,1
30347,1
24651,1
47190,0
26383,1
18132,0
49636,0
43952,1
33264,0
40995,1
44771,1
30815,0
10129,0
20023,1
30097,1
39393,1
9456,1
49784,0
48225,1
48124,0
51039,1
36647,1
19712,1
32896,1
45222,0
45675,1
11361,1
22316,0
52497,1
40581,1
27375,1
51632,0
39830,0
47816,1
16386,0
48198,0
21730,0
26969,1
39564,0
18956,1
15809,1
49176,0
13497,0
50844,1
3867,0
25046,1
11662,1
17427,1
40737,0
31660,0
25520,0
51270,1
33707,1
32338,1
27793,1
6679,1
942,1
36909,0
47582,0
42673,0
40734,0
32847,1
30671,1
15206,1
23210,0
42435,1
49351,0
15786,0
52043,1
9143,1
44722,1
44393,1
1876,0
22088,1
27209,1
2694,1
43235,0
42694,0
14580,0
32251,1
15929,0
24356,1
43655,0
4951,0
40033,1
14987,0
51996,0
12662,0
7034,1
46559,1
18953,0
